name,mbase,bus_index,pg,qg,fuel,fuel_type,pmax,qmax,year_exp
pv_S6_1,0.0,264,0.0,0.0,solar,solar,0.0,0.0,2030
owtg_T4_1,0.0,2021,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2030
pv_S3_1,0.0,1551,0.0,0.0,solar,solar,0.0,0.0,2030
gen_5019_1,215.40659228538016,258,-8.38122239419553e-9,-0.007118935396783777,hydrowater,Hydro,2.0,0.8,2030
gen_4085_11,0.108895174942445,832,0.0,0.17959582252631157,solar,Solar,0.0,0.2,2030
wtg_S7_1,0.0,2005,0.0,0.0,wind,wind,0.0,0.0,2030
owtg_N11_1,0.0,2017,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2030
gen_3527_1,225.23718779557402,439,2.300000022645779,0.2663847286641129,naturalgas,Fossil,2.3,0.9,2030
gen_3464_1,189.74077837402,1182,1.9000000186412798,-0.2304127472915793,blackcoal,Fossil,1.9,0.8,2030
gen_5026_5,34.233340868547096,316,0.40000000975665934,0.0421148537901022,hydrowater,Hydro,0.4,0.2,2030
gen_4095_2,1.74399613115937,1171,0.0,0.8999999792754338,solar,Solar,0.0,0.9,2030
gen_4152_11,0.12966947583295402,1143,0.0,0.012590053061817602,solar,Solar,0.0,0.2,2030
owtg_S10_1,0.0,2020,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2030
gen_4052_1,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2030
gen_4373_11,0.129645442360081,1196,0.0,0.16574314369818854,solar,Solar,0.0,0.2,2030
wtg_N6_1,0.0,1393,0.0,0.0,wind,wind,0.0,0.0,2030
gen_3434_1,158.354711054701,969,1.600000015646324,0.13379129022549768,naturalgas,Fossil,1.6,0.7,2030
wtg_V2_1,0.0,654,0.0,0.0,wind,wind,0.0,0.0,2030
pv_S4_1,0.0,2004,0.0,0.0,solar,solar,0.0,0.0,2030
gen_2046_1,384.83762809787714,1703,-9.245289590170587e-9,-0.03709195393628916,browncoal,Fossil,3.5,1.6,2030
wtg_S9_1,0.0,2007,0.0,0.0,wind,wind,0.0,0.0,2030
gen_3301_1,47.830978430458394,1255,0.5000000096706535,-0.006550916630475607,naturalgas,Fossil,0.5,0.2,2030
gen_3457_5,8.7651425538864,527,-8.822696580969962e-9,0.00036920205618714007,hydrowater,Hydro,0.1,0.1,2030
gen_3154_3,56.4829927750938,973,0.6000000096479723,0.11058508401521458,naturalgas,Fossil,0.6,0.3,2030
gen_3454_2,24.7130107383127,1704,-8.821439333905572e-9,0.012023926593880817,naturalgas,Fossil,0.3,0.2,2030
gen_4100_2,1.3909524032296594,177,0.0,0.9000000091398032,solar,Solar,0.0,0.9,2030
gen_3156_2,55.8495727342218,1996,-9.119497832006338e-9,-0.011453597893138424,naturalgas,Fossil,0.6,0.5,2030
gen_5235_1,32.5552539895289,89,0.40000000976930933,-0.015222426157357439,hydrowater,Hydro,0.4,0.2,2030
pv_Q9_1,0.0,2002,0.0,0.0,solar,solar,0.0,0.0,2030
pv_V4_1,0.0,811,0.0,0.0,solar,solar,0.0,0.0,2030
gen_4049_1,0.5672571545146641,247,0.3288820141479579,0.0,solar,Solar,0.6,0.0,2030
pv_T3_1,0.0,2010,0.0,0.0,solar,solar,0.0,0.0,2030
gen_4052_2,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2030
gen_4101_1,1.4003431122126098,177,0.0,0.9000000091398032,solar,Solar,0.0,0.9,2030
gen_3439_2,205.18749745981802,1983,-9.154793704863655e-9,-0.03881029246817834,naturalgas,Fossil,2.1,0.9,2030
gen_WHILL1,13.331648960274944,45,-8.821856916465006e-9,0.012738575734369002,wind,Wind,0.12,0.05807999999999999,2030
gen_3587_3,423.626371387602,1289,0.5127076341784338,-0.1684688173130743,blackcoal,Fossil,4.3,1.5,2030
pv_N7_1,0.0,1393,0.0,0.0,solar,solar,0.0,0.0,2030
gen_3437_4,375.605614145869,1758,3.764650693876176e-7,-0.20120766355623762,blackcoal,Fossil,3.8,1.6,2030
gen_3424_2,313.04951684997053,782,4.300000042648753,0.6413538804389902,blackcoal,Fossil,2.8,1.4,2030
wtg_Q3_1,0.0,849,0.0,0.0,wind,wind,0.0,0.0,2030
owtg_N10_1,0.0,2016,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2030
gen_4048_11,0.12825872706156197,1407,0.0,0.1999998528923005,solar,Solar,0.0,0.2,2030
gen_3438_1,209.356691142824,1381,-9.154833759493893e-9,-0.042734821506203426,naturalgas,Fossil,2.1,0.9,2030
gen_4066_1,175.50502469390602,284,1.7999999690819168,-0.39999996826518475,naturalgas,Fossil,0.9,0.35,2030
gen_3435_2,157.83937821052,1150,1.6000000156461596,0.15609285201431955,naturalgas,Fossil,1.6,0.7,2030
wtg_N1_1,0.0,2012,0.0,0.0,wind,wind,0.0,0.0,2030
gen_3417_1,327.941066311374,1067,1.300002772362929,-0.1707371562284781,blackcoal,Fossil,3.3,1.5,2030
gen_3264_1,240.12185123283402,273,2.5000000246455096,0.19999976862113011,naturalgas,Fossil,2.5,0.2,2030
gen_4013_22,0.252659386300459,1849,0.031642852992999286,0.09999992976573958,solar,Solar,0.3,0.1,2030
gen_3526_3,230.990713269683,1663,2.400000023645662,0.28914440213368353,naturalgas,Fossil,2.4,1.0,2030
wtg_S2_1,0.0,2003,0.0,0.0,wind,wind,0.0,0.0,2030
gen_1013_1,837.73504164503,82,0.5000000096424646,0.005317065150748971,naturalgas,Fossil,7.7,3.3,2030
gen_3525_2,223.21536341426,1298,2.3000000226458166,0.27238327434759807,naturalgas,Fossil,2.3,0.9,2030
gen_3422_6,313.04951684997053,782,3.3000000326475605,0.1253919365736007,blackcoal,Fossil,2.8,1.4,2030
owtg_V8_1,0.0,2019,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2030
pv_Q1_1,0.0,965,0.0,0.0,solar,solar,0.0,0.0,2030
gen_4376_11,0.19169106867,1630,0.0,0.16014896269745604,solar,Solar,0.0,0.2,2030
gen_5234_1,16.3866927560885,1086,-7.467691120250695e-9,-0.09999962811676015,hydrowater,Hydro,0.2,0.1,2030
gen_4052_3,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2030
gen_3436_3,153.609530652668,1571,-9.488174171432075e-9,-0.0634288727186488,naturalgas,Fossil,1.6,0.7,2030
gen_3421_5,313.04951684997053,608,3.3000000326473917,0.21392065976289384,blackcoal,Fossil,2.8,1.4,2030
gen_4009_11,0.128727573506534,1658,0.0,0.1999999927811417,solar,Solar,0.0,0.2,2030
gen_4008_1,21.6044311194727,723,-9.790929633526754e-9,0.09999999294061114,wind,Wind,0.3,0.1,2030
gen_4003_1,36.2839481079485,1175,-9.791364103849414e-9,-0.067369610535639,wind,Wind,0.62,0.155,2030
gen_3455_3,23.6974350718665,1087,-9.384042190406689e-9,0.013164621505081265,hydrowater,Hydro,0.3,0.2,2030
gen_4037,0.3639012011000001,926,0.0,-0.01386562371392315,solar,Solar,0.0,0.3,2030
pv_T1_1,0.0,2008,0.0,0.0,solar,solar,0.0,0.0,2030
wtg_V1_1,0.0,2011,0.0,0.0,wind,wind,0.0,0.0,2030
gen_1068_2,1667.0932787339766,667,0.3000000096674061,0.16448396988732886,naturalgas,Fossil,14.4,8.4,2030
wtg_Q9_1,0.0,2002,0.0,0.0,wind,wind,0.0,0.0,2030
gen_3456_4,24.5818638734054,166,-8.821841233388489e-9,0.0134439229907317,hydrowater,Hydro,0.3,0.2,2030
gen_4010_21,0.28771634400000007,1800,0.026077162123302154,0.09999992899047752,solar,Solar,0.3,0.1,2030
gen_1067_1,894.4271909999159,1318,0.4000000096607614,0.1999999956764661,naturalgas,Fossil,8.0,4.0,2030
gen_3462_1,195.96899449389898,1355,2.0000000196666483,-0.0952663147495664,naturalgas,Fossil,2.0,0.9,2030
gen_3449_2,35.1063570457092,1353,-8.729820151989273e-9,-0.007891087391888235,naturalgas,Fossil,0.4,0.2,2030
gen_3448_1,35.3824854665436,228,-8.738819969300833e-9,-0.0074915179224723984,naturalgas,Fossil,0.4,0.2,2030
gen_3586_2,426.8220308,826,0.569220042870208,-0.18642600800242043,blackcoal,Fossil,4.3,1.9,2030
gen_4372_12,0.04312644164264199,985,0.0,0.09999993335616902,solar,Solar,0.0,0.1,2030
gen_3418_2,313.04951684997053,608,1.3467125466708447,-0.1660679387442599,blackcoal,Fossil,2.8,1.4,2030
gen_3423_1,313.04951684997053,608,4.300000042648969,0.644196010929329,blackcoal,Fossil,2.8,1.4,2030
gen_2062_2,331.058907144937,1107,1.1000000105261836,0.19999795219167896,naturalgas,Fossil,3.0,1.4,2030
pv_N8_1,0.0,719,0.0,0.0,solar,solar,0.0,0.0,2030
gen_3466_1,34.7002429670887,1479,0.40000000963075893,0.038833101344188034,naturalgas,Fossil,0.4,0.2,2030
gen_4018_1,0.5888280384633691,1672,0.5999990603955058,-0.0999279660375677,solar,Solar,0.6,0.1,2030
gen_2017_1,0.805258456163574,1489,0.0,0.08297556252589261,solar,Solar,0.0,0.6,2030
gen_5230_2,36.1447293923702,570,-5.7566146962783815e-9,0.014596994942692763,hydrowater,Hydro,0.4,0.2,2030
pv_S8_1,0.0,2006,0.0,0.0,solar,solar,0.0,0.0,2030
gen_2047_2,407.70700263792384,1703,-9.245301553431763e-9,-0.06461427018270963,browncoal,Fossil,3.75,1.6,2030
gen_2043_2,407.70700263792384,1703,6.400000063792992,0.7096079057704425,browncoal,Fossil,3.75,1.6,2030
gen_4078_11,34.96740921,1593,-9.69048039521497e-9,0.08150829561720677,wind,Wind,0.4,0.1,2030
gen_4036_1,196.9771560359221,1450,-9.791131303591114e-9,-0.006469366062022725,naturalgas,Fossil,1.8,0.8,2030
pv_T2_1,0.0,2009,0.0,0.0,solar,solar,0.0,0.0,2030
gen_1082_6,800.5623023850173,537,3.536744122124647e-8,0.14739484574931555,blackcoal,Fossil,7.2,3.5,2030
gen_4028_1,37.22684,603,-9.791539588555683e-9,0.04569204164992472,wind,Wind,0.4,0.3,2030
owtg_T5_1,0.0,2022,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2030
wtg_Q9_1,0.0,2002,0.0,0.0,wind,wind,0.0,0.0,2031
gen_3425_3,313.04951684997053,782,4.2000000416487335,0.6320614271638315,blackcoal,Fossil,2.8,1.4,2031
gen_2054_1,331.058907144937,1107,1.2000000117730876,0.10000000633732667,naturalgas,Fossil,3.0,1.4,2031
pv_S8_1,0.0,2006,0.0,0.0,solar,solar,0.0,0.0,2031
gen_3155_1,70.4010887629353,1647,0.8000000096464704,0.1763158242860042,hydrowater,Hydro,0.8,0.4,2031
gen_2073_1,389.10152916687434,1703,6.300000062800424,-0.5958097638634434,browncoal,Fossil,3.5,1.7,2031
gen_1044_1,1667.0932787339766,555,8.400000075184948,-1.0807269730475024,blackcoal,Fossil,14.4,8.4,2031
gen_4153_21,0.131987497480586,1371,0.0,0.1950820626691131,solar,Solar,0.0,0.2,2031
wtg_N6_1,0.0,1393,0.0,0.0,wind,wind,0.0,0.0,2031
gen_3463_1,105.795435098372,1639,1.1000000106436763,0.2997102649007753,blackcoal,Fossil,1.1,0.5,2031
gen_4094_1,1.6993349549174301,1171,0.0,0.8999999792754338,solar,Solar,0.0,0.9,2031
gen_5022_1,33.6463986921869,468,0.4000000097566343,0.0426981520218264,hydrowater,Hydro,0.4,0.2,2031
gen_1081_5,800.5623023850173,1272,3.5638637708802675e-8,0.15086697738251842,blackcoal,Fossil,7.2,3.5,2031
gen_4035_1,894.4271909999159,938,-9.791131303591114e-9,-0.006230724768083406,naturalgas,Fossil,8.0,4.0,2031
wtg_Q3_1,0.0,849,0.0,0.0,wind,wind,0.0,0.0,2031
gen_5019_1,215.40659228538016,258,-8.38122239419553e-9,-0.007118935396783777,hydrowater,Hydro,2.0,0.8,2031
gen_4085_11,0.108895174942445,832,0.0,0.17959582252631157,solar,Solar,0.0,0.2,2031
wtg_S6_1,0.0,264,0.0,0.0,wind,wind,0.0,0.0,2031
wtg_S9_1,0.0,2007,0.0,0.0,wind,wind,0.0,0.0,2031
gen_3527_1,225.23718779557402,439,2.300000022645779,0.2663847286641129,naturalgas,Fossil,2.3,0.9,2031
owtg_T5_1,0.0,2022,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2031
gen_3464_1,189.74077837402,1182,1.9000000186412798,-0.2304127472915793,blackcoal,Fossil,1.9,0.8,2031
owtg_V8_1,0.0,2019,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2031
gen_5026_5,34.233340868547096,316,0.40000000975665934,0.0421148537901022,hydrowater,Hydro,0.4,0.2,2031
gen_4095_2,1.74399613115937,1171,0.0,0.8999999792754338,solar,Solar,0.0,0.9,2031
gen_4152_11,0.12966947583295402,1143,0.0,0.012590053061817602,solar,Solar,0.0,0.2,2031
gen_4052_1,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2031
gen_4373_11,0.129645442360081,1196,0.0,0.16574314369818854,solar,Solar,0.0,0.2,2031
pv_V4_1,0.0,811,0.0,0.0,solar,solar,0.0,0.0,2031
wtg_N1_1,0.0,2012,0.0,0.0,wind,wind,0.0,0.0,2031
gen_3434_1,158.354711054701,969,1.600000015646324,0.13379129022549768,naturalgas,Fossil,1.6,0.7,2031
pv_N8_1,0.0,719,0.0,0.0,solar,solar,0.0,0.0,2031
gen_2046_1,384.83762809787714,1703,-9.245289590170587e-9,-0.03709195393628916,browncoal,Fossil,3.5,1.6,2031
gen_3301_1,47.830978430458394,1255,0.5000000096706535,-0.006550916630475607,naturalgas,Fossil,0.5,0.2,2031
gen_3457_5,8.7651425538864,527,-8.822696580969962e-9,0.00036920205618714007,hydrowater,Hydro,0.1,0.1,2031
gen_3154_3,56.4829927750938,973,0.6000000096479723,0.11058508401521458,naturalgas,Fossil,0.6,0.3,2031
gen_3454_2,24.7130107383127,1704,-8.821439333905572e-9,0.012023926593880817,naturalgas,Fossil,0.3,0.2,2031
gen_4100_2,1.3909524032296594,177,0.0,0.9000000091398032,solar,Solar,0.0,0.9,2031
pv_T3_1,0.0,2010,0.0,0.0,solar,solar,0.0,0.0,2031
gen_3156_2,55.8495727342218,1996,-9.119497832006338e-9,-0.011453597893138424,naturalgas,Fossil,0.6,0.5,2031
gen_5235_1,32.5552539895289,89,0.40000000976930933,-0.015222426157357439,hydrowater,Hydro,0.4,0.2,2031
gen_4049_1,0.5672571545146641,247,0.3288820141479579,0.0,solar,Solar,0.6,0.0,2031
pv_T2_1,0.0,2009,0.0,0.0,solar,solar,0.0,0.0,2031
gen_4052_2,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2031
gen_4101_1,1.4003431122126098,177,0.0,0.9000000091398032,solar,Solar,0.0,0.9,2031
gen_3439_2,205.18749745981802,1983,-9.154793704863655e-9,-0.03881029246817834,naturalgas,Fossil,2.1,0.9,2031
gen_WHILL1,13.331648960274944,45,-8.821856916465006e-9,0.012738575734369002,wind,Wind,0.12,0.05807999999999999,2031
owtg_N10_1,0.0,2016,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2031
gen_3587_3,423.626371387602,1289,0.5127076341784338,-0.1684688173130743,blackcoal,Fossil,4.3,1.5,2031
gen_3437_4,375.605614145869,1758,3.764650693876176e-7,-0.20120766355623762,blackcoal,Fossil,3.8,1.6,2031
gen_3424_2,313.04951684997053,782,4.300000042648753,0.6413538804389902,blackcoal,Fossil,2.8,1.4,2031
pv_S6_1,0.0,264,0.0,0.0,solar,solar,0.0,0.0,2031
wtg_S7_1,0.0,2005,0.0,0.0,wind,wind,0.0,0.0,2031
owtg_S10_1,0.0,2020,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2031
gen_4048_11,0.12825872706156197,1407,0.0,0.1999998528923005,solar,Solar,0.0,0.2,2031
pv_S4_1,0.0,2004,0.0,0.0,solar,solar,0.0,0.0,2031
gen_3656_1,377.4193527172111,1219,3.930555683056157,-0.8800174451277207,blackcoal,Fossil,3.5,1.4122807017543861,2031
gen_3438_1,209.356691142824,1381,-9.154833759493893e-9,-0.042734821506203426,naturalgas,Fossil,2.1,0.9,2031
gen_4066_1,175.50502469390602,284,1.7999999690819168,-0.39999996826518475,naturalgas,Fossil,0.9,0.35,2031
gen_3435_2,157.83937821052,1150,1.6000000156461596,0.15609285201431955,naturalgas,Fossil,1.6,0.7,2031
gen_3417_1,327.941066311374,1067,1.300002772362929,-0.1707371562284781,blackcoal,Fossil,3.3,1.5,2031
owtg_T4_1,0.0,2021,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2031
gen_3264_1,240.12185123283402,273,2.5000000246455096,0.19999976862113011,naturalgas,Fossil,2.5,0.2,2031
gen_4013_22,0.252659386300459,1849,0.031642852992999286,0.09999992976573958,solar,Solar,0.3,0.1,2031
wtg_S2_1,0.0,2003,0.0,0.0,wind,wind,0.0,0.0,2031
gen_3526_3,230.990713269683,1663,2.400000023645662,0.28914440213368353,naturalgas,Fossil,2.4,1.0,2031
gen_1013_1,837.73504164503,82,0.5000000096424646,0.005317065150748971,naturalgas,Fossil,7.7,3.3,2031
gen_3525_2,223.21536341426,1298,2.3000000226458166,0.27238327434759807,naturalgas,Fossil,2.3,0.9,2031
gen_3422_6,313.04951684997053,782,3.3000000326475605,0.1253919365736007,blackcoal,Fossil,2.8,1.4,2031
pv_Q1_1,0.0,965,0.0,0.0,solar,solar,0.0,0.0,2031
gen_4376_11,0.19169106867,1630,0.0,0.16014896269745604,solar,Solar,0.0,0.2,2031
gen_5234_1,16.3866927560885,1086,-7.467691120250695e-9,-0.09999962811676015,hydrowater,Hydro,0.2,0.1,2031
gen_4052_3,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2031
owtg_N11_1,0.0,2017,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2031
gen_3436_3,153.609530652668,1571,-9.488174171432075e-9,-0.0634288727186488,naturalgas,Fossil,1.6,0.7,2031
gen_3421_5,313.04951684997053,608,3.3000000326473917,0.21392065976289384,blackcoal,Fossil,2.8,1.4,2031
gen_4009_11,0.128727573506534,1658,0.0,0.1999999927811417,solar,Solar,0.0,0.2,2031
gen_4008_1,21.6044311194727,723,-9.790929633526754e-9,0.09999999294061114,wind,Wind,0.3,0.1,2031
gen_4003_1,36.2839481079485,1175,-9.791364103849414e-9,-0.067369610535639,wind,Wind,0.62,0.155,2031
gen_3656_2,377.4193527172111,1219,3.930555683056157,-0.8800174451277207,blackcoal,Fossil,3.5,1.4122807017543861,2031
pv_Q9_1,0.0,2002,0.0,0.0,solar,solar,0.0,0.0,2031
gen_3455_3,23.6974350718665,1087,-9.384042190406689e-9,0.013164621505081265,hydrowater,Hydro,0.3,0.2,2031
gen_4037,0.3639012011000001,926,0.0,-0.01386562371392315,solar,Solar,0.0,0.3,2031
pv_S9_1,0.0,2007,0.0,0.0,solar,solar,0.0,0.0,2031
gen_1068_2,1667.0932787339766,667,0.3000000096674061,0.16448396988732886,naturalgas,Fossil,14.4,8.4,2031
wtg_V1_1,0.0,2011,0.0,0.0,wind,wind,0.0,0.0,2031
wtg_V2_1,0.0,654,0.0,0.0,wind,wind,0.0,0.0,2031
gen_3456_4,24.5818638734054,166,-8.821841233388489e-9,0.0134439229907317,hydrowater,Hydro,0.3,0.2,2031
gen_4010_21,0.28771634400000007,1800,0.026077162123302154,0.09999992899047752,solar,Solar,0.3,0.1,2031
gen_1067_1,894.4271909999159,1318,0.4000000096607614,0.1999999956764661,naturalgas,Fossil,8.0,4.0,2031
gen_3462_1,195.96899449389898,1355,2.0000000196666483,-0.0952663147495664,naturalgas,Fossil,2.0,0.9,2031
gen_3449_2,35.1063570457092,1353,-8.729820151989273e-9,-0.007891087391888235,naturalgas,Fossil,0.4,0.2,2031
owtg_V7_2,0.0,2018,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2031
gen_3448_1,35.3824854665436,228,-8.738819969300833e-9,-0.0074915179224723984,naturalgas,Fossil,0.4,0.2,2031
gen_3586_2,426.8220308,826,0.569220042870208,-0.18642600800242043,blackcoal,Fossil,4.3,1.9,2031
gen_4372_12,0.04312644164264199,985,0.0,0.09999993335616902,solar,Solar,0.0,0.1,2031
gen_3418_2,313.04951684997053,608,1.3467125466708447,-0.1660679387442599,blackcoal,Fossil,2.8,1.4,2031
gen_3423_1,313.04951684997053,608,4.300000042648969,0.644196010929329,blackcoal,Fossil,2.8,1.4,2031
gen_2062_2,331.058907144937,1107,1.1000000105261836,0.19999795219167896,naturalgas,Fossil,3.0,1.4,2031
gen_3466_1,34.7002429670887,1479,0.40000000963075893,0.038833101344188034,naturalgas,Fossil,0.4,0.2,2031
gen_4018_1,0.5888280384633691,1672,0.5999990603955058,-0.0999279660375677,solar,Solar,0.6,0.1,2031
gen_2017_1,0.805258456163574,1489,0.0,0.08297556252589261,solar,Solar,0.0,0.6,2031
gen_5230_2,36.1447293923702,570,-5.7566146962783815e-9,0.014596994942692763,hydrowater,Hydro,0.4,0.2,2031
gen_2047_2,407.70700263792384,1703,-9.245301553431763e-9,-0.06461427018270963,browncoal,Fossil,3.75,1.6,2031
gen_2043_2,407.70700263792384,1703,6.400000063792992,0.7096079057704425,browncoal,Fossil,3.75,1.6,2031
gen_4078_11,34.96740921,1593,-9.69048039521497e-9,0.08150829561720677,wind,Wind,0.4,0.1,2031
gen_4036_1,196.9771560359221,1450,-9.791131303591114e-9,-0.006469366062022725,naturalgas,Fossil,1.8,0.8,2031
pv_N7_1,0.0,1393,0.0,0.0,solar,solar,0.0,0.0,2031
pv_T1_1,0.0,2008,0.0,0.0,solar,solar,0.0,0.0,2031
gen_1082_6,800.5623023850173,537,3.536744122124647e-8,0.14739484574931555,blackcoal,Fossil,7.2,3.5,2031
pv_S3_1,0.0,1551,0.0,0.0,solar,solar,0.0,0.0,2031
gen_4028_1,37.22684,603,-9.791539588555683e-9,0.04569204164992472,wind,Wind,0.4,0.3,2031
"gen_[ANGAST1, ANGAST1]",51.32684849705854,1503,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.9075,0.43922999999999995,2031
gen_TOORAWF,23.330385680481154,1629,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.21,0.10164,2032
pv_Q9_1,0.0,2002,0.0,0.0,solar,solar,0.0,0.0,2032
gen_3425_3,313.04951684997053,782,4.2000000416487335,0.6320614271638315,blackcoal,Fossil,2.8,1.4,2032
gen_2054_1,331.058907144937,1107,1.2000000117730876,0.10000000633732667,naturalgas,Fossil,3.0,1.4,2032
pv_T2_1,0.0,2009,0.0,0.0,solar,solar,0.0,0.0,2032
pv_V4_1,0.0,811,0.0,0.0,solar,solar,0.0,0.0,2032
wtg_S7_1,0.0,2005,0.0,0.0,wind,wind,0.0,0.0,2032
gen_3155_1,70.4010887629353,1647,0.8000000096464704,0.1763158242860042,hydrowater,Hydro,0.8,0.4,2032
gen_2073_1,389.10152916687434,1703,6.300000062800424,-0.5958097638634434,browncoal,Fossil,3.5,1.7,2032
gen_1044_1,1667.0932787339766,555,8.400000075184948,-1.0807269730475024,blackcoal,Fossil,14.4,8.4,2032
gen_4153_21,0.131987497480586,1371,0.0,0.1950820626691131,solar,Solar,0.0,0.2,2032
gen_3463_1,105.795435098372,1639,1.1000000106436763,0.2997102649007753,blackcoal,Fossil,1.1,0.5,2032
gen_4094_1,1.6993349549174301,1171,0.0,0.8999999792754338,solar,Solar,0.0,0.9,2032
gen_5022_1,33.6463986921869,468,0.4000000097566343,0.0426981520218264,hydrowater,Hydro,0.4,0.2,2032
gen_1081_5,800.5623023850173,1272,3.5638637708802675e-8,0.15086697738251842,blackcoal,Fossil,7.2,3.5,2032
gen_4035_1,894.4271909999159,938,-9.791131303591114e-9,-0.006230724768083406,naturalgas,Fossil,8.0,4.0,2032
wtg_Q3_1,0.0,849,0.0,0.0,wind,wind,0.0,0.0,2032
pv_N8_1,0.0,719,0.0,0.0,solar,solar,0.0,0.0,2032
gen_5019_1,215.40659228538016,258,-8.38122239419553e-9,-0.007118935396783777,hydrowater,Hydro,2.0,0.8,2032
gen_4085_11,0.108895174942445,832,0.0,0.17959582252631157,solar,Solar,0.0,0.2,2032
wtg_V2_1,0.0,654,0.0,0.0,wind,wind,0.0,0.0,2032
pv_S6_1,0.0,264,0.0,0.0,solar,solar,0.0,0.0,2032
pv_S9_1,0.0,2007,0.0,0.0,solar,solar,0.0,0.0,2032
gen_3527_1,225.23718779557402,439,2.300000022645779,0.2663847286641129,naturalgas,Fossil,2.3,0.9,2032
owtg_S10_1,0.0,2020,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2032
gen_3464_1,189.74077837402,1182,1.9000000186412798,-0.2304127472915793,blackcoal,Fossil,1.9,0.8,2032
gen_5026_5,34.233340868547096,316,0.40000000975665934,0.0421148537901022,hydrowater,Hydro,0.4,0.2,2032
gen_4095_2,1.74399613115937,1171,0.0,0.8999999792754338,solar,Solar,0.0,0.9,2032
gen_4152_11,0.12966947583295402,1143,0.0,0.012590053061817602,solar,Solar,0.0,0.2,2032
gen_4052_1,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2032
gen_4373_11,0.129645442360081,1196,0.0,0.16574314369818854,solar,Solar,0.0,0.2,2032
pv_S3_1,0.0,1551,0.0,0.0,solar,solar,0.0,0.0,2032
gen_3434_1,158.354711054701,969,1.600000015646324,0.13379129022549768,naturalgas,Fossil,1.6,0.7,2032
pv_T3_1,0.0,2010,0.0,0.0,solar,solar,0.0,0.0,2032
wtg_N1_1,0.0,2012,0.0,0.0,wind,wind,0.0,0.0,2032
wtg_V1_1,0.0,2011,0.0,0.0,wind,wind,0.0,0.0,2032
gen_2046_1,384.83762809787714,1703,-9.245289590170587e-9,-0.03709195393628916,browncoal,Fossil,3.5,1.6,2032
pv_S8_1,0.0,2006,0.0,0.0,solar,solar,0.0,0.0,2032
gen_3301_1,47.830978430458394,1255,0.5000000096706535,-0.006550916630475607,naturalgas,Fossil,0.5,0.2,2032
gen_3457_5,8.7651425538864,527,-8.822696580969962e-9,0.00036920205618714007,hydrowater,Hydro,0.1,0.1,2032
gen_3154_3,56.4829927750938,973,0.6000000096479723,0.11058508401521458,naturalgas,Fossil,0.6,0.3,2032
gen_3454_2,24.7130107383127,1704,-8.821439333905572e-9,0.012023926593880817,naturalgas,Fossil,0.3,0.2,2032
gen_4100_2,1.3909524032296594,177,0.0,0.9000000091398032,solar,Solar,0.0,0.9,2032
gen_3156_2,55.8495727342218,1996,-9.119497832006338e-9,-0.011453597893138424,naturalgas,Fossil,0.6,0.5,2032
gen_5235_1,32.5552539895289,89,0.40000000976930933,-0.015222426157357439,hydrowater,Hydro,0.4,0.2,2032
gen_4049_1,0.5672571545146641,247,0.3288820141479579,0.0,solar,Solar,0.6,0.0,2032
gen_4052_2,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2032
gen_4101_1,1.4003431122126098,177,0.0,0.9000000091398032,solar,Solar,0.0,0.9,2032
gen_3439_2,205.18749745981802,1983,-9.154793704863655e-9,-0.03881029246817834,naturalgas,Fossil,2.1,0.9,2032
gen_WHILL1,13.331648960274944,45,-8.821856916465006e-9,0.012738575734369002,wind,Wind,0.12,0.05807999999999999,2032
pv_N7_1,0.0,1393,0.0,0.0,solar,solar,0.0,0.0,2032
wtg_Q9_1,0.0,2002,0.0,0.0,wind,wind,0.0,0.0,2032
gen_3587_3,423.626371387602,1289,0.5127076341784338,-0.1684688173130743,blackcoal,Fossil,4.3,1.5,2032
